Source,Target,Type
compiled_knowledge,物联网,Undirected
compiled_knowledge,2026-04-12,Undirected
compiled_knowledge,EdgeX Foundry,Undirected
compiled_knowledge,KubeEdge,Undirected
compiled_knowledge,供应链可视化,Undirected
compiled_knowledge,工业物联网,Undirected
compiled_knowledge,工业物联网应用,Undirected
compiled_knowledge,物联网基础,Undirected
compiled_knowledge,生产过程优化,Undirected
compiled_knowledge,边缘计算,Undirected
compiled_knowledge,边缘计算技术,Undirected
compiled_knowledge,预测性维护,Undirected
EdgeX Foundry,物联网,Undirected
EdgeX Foundry,2026-04-12,Undirected
EdgeX Foundry,edge_computing,Undirected
EdgeX Foundry,协议转换网关,Undirected
EdgeX Foundry,容器技术,Undirected
EdgeX Foundry,工业物联网,Undirected
EdgeX Foundry,边缘计算,Undirected
EdgeX Foundry,预测性维护,Undirected
edge_computing,2026-04-12,Undirected
industrial_iot,2026-04-12,Undirected
KubeEdge,物联网,Undirected
KubeEdge,2026-04-12,Undirected
KubeEdge,edge_computing,Undirected
KubeEdge,Kubernetes,Undirected
KubeEdge,OpenYurt,Undirected
KubeEdge,容器技术,Undirected
KubeEdge,工业物联网,Undirected
KubeEdge,边缘计算,Undirected
KubeEdge,边缘计算挑战,Undirected
Kubernetes,物联网,Undirected
Kubernetes,edge_computing,Undirected
Kubernetes,KubeEdge,Undirected
Kubernetes,OpenYurt,Undirected
Kubernetes,容器技术,Undirected
Kubernetes,工业物联网,Undirected
Kubernetes,边缘计算,Undirected
OpenYurt,2026-04-12,Undirected
OpenYurt,edge_computing,Undirected
OpenYurt,KubeEdge,Undirected
OpenYurt,Kubernetes,Undirected
OpenYurt,容器技术,Undirected
OpenYurt,边缘计算,Undirected
供应链可视化,物联网,Undirected
供应链可视化,industrial_iot,Undirected
供应链可视化,工业物联网,Undirected
供应链可视化,边缘计算,Undirected
协议转换网关,物联网,Undirected
协议转换网关,2026-04-12,Undirected
协议转换网关,industrial_iot,Undirected
协议转换网关,工业物联网,Undirected
协议转换网关,工业物联网实施挑战,Undirected
协议转换网关,边缘计算,Undirected
容器技术,物联网,Undirected
容器技术,2026-04-12,Undirected
容器技术,EdgeX Foundry,Undirected
容器技术,edge_computing,Undirected
容器技术,KubeEdge,Undirected
容器技术,Kubernetes,Undirected
容器技术,OpenYurt,Undirected
容器技术,工业物联网,Undirected
容器技术,边缘计算,Undirected
工业物联网,物联网,Undirected
工业物联网,2026-04-12,Undirected
工业物联网,industrial_iot,Undirected
工业物联网,供应链可视化,Undirected
工业物联网,协议转换网关,Undirected
工业物联网,工业物联网实施挑战,Undirected
工业物联网,数字孪生,Undirected
工业物联网,生产过程优化,Undirected
工业物联网,精确时间协议,Undirected
工业物联网,边缘计算,Undirected
工业物联网,预测性维护,Undirected
工业物联网实施挑战,物联网,Undirected
工业物联网实施挑战,2026-04-12,Undirected
工业物联网实施挑战,industrial_iot,Undirected
工业物联网实施挑战,协议转换网关,Undirected
工业物联网实施挑战,工业物联网,Undirected
工业物联网实施挑战,数据孤岛问题,Undirected
工业物联网实施挑战,边缘计算,Undirected
工业物联网应用,物联网,Undirected
工业物联网应用,2026-04-12,Undirected
工业物联网应用,工业物联网,Undirected
数字孪生,物联网,Undirected
数字孪生,2026-04-12,Undirected
数字孪生,industrial_iot,Undirected
数字孪生,工业物联网,Undirected
数字孪生,边缘计算,Undirected
数字孪生,预测性维护,Undirected
数据孤岛问题,物联网,Undirected
数据孤岛问题,industrial_iot,Undirected
数据孤岛问题,协议转换网关,Undirected
数据孤岛问题,工业物联网,Undirected
数据孤岛问题,工业物联网实施挑战,Undirected
物联网基础,物联网,Undirected
物联网基础,2026-04-12,Undirected
生产过程优化,物联网,Undirected
生产过程优化,industrial_iot,Undirected
生产过程优化,工业物联网,Undirected
生产过程优化,数字孪生,Undirected
生产过程优化,精确时间协议,Undirected
生产过程优化,边缘计算,Undirected
精确时间协议,物联网,Undirected
精确时间协议,industrial_iot,Undirected
精确时间协议,工业物联网,Undirected
精确时间协议,生产过程优化,Undirected
精确时间协议,边缘计算,Undirected
边缘计算,物联网,Undirected
边缘计算,2026-04-12,Undirected
边缘计算,EdgeX Foundry,Undirected
边缘计算,edge_computing,Undirected
边缘计算,KubeEdge,Undirected
边缘计算,Kubernetes,Undirected
边缘计算,OpenYurt,Undirected
边缘计算,容器技术,Undirected
边缘计算,工业物联网,Undirected
边缘计算,边缘计算挑战,Undirected
边缘计算,预测性维护,Undirected
边缘计算技术,2026-04-12,Undirected
边缘计算技术,边缘计算,Undirected
边缘计算挑战,物联网,Undirected
边缘计算挑战,2026-04-12,Undirected
边缘计算挑战,edge_computing,Undirected
边缘计算挑战,容器技术,Undirected
边缘计算挑战,工业物联网,Undirected
边缘计算挑战,工业物联网实施挑战,Undirected
边缘计算挑战,边缘计算,Undirected
预测性维护,物联网,Undirected
预测性维护,2026-04-12,Undirected
预测性维护,industrial_iot,Undirected
预测性维护,工业物联网,Undirected
预测性维护,数字孪生,Undirected
预测性维护,边缘计算,Undirected
